INTRO ,,,,,
Horário,Segunda,Terça,Quarta,Quinta,Sexta
07:30,---,---,---,---,---
08:20,---,---,---,---,---
09:10,4111 2 Trô Geral,---,---,---,---
10:20,4111 2 Trô Geral,---,---,---,---
11:10,4111 2 Trô Geral,---,---,---,---
13:10,---,---,---,4112 2 Trô Geral,---
14:00,4123 2 Trô Geral,---,---,4112 2 Trô Geral,---
14:50,4123 2 Trô Geral,4124 2 Trô Geral,---,4112 2 Trô Geral,---
16:00,4123 2 Trô Geral,4124 2 Trô Geral,---,---,---
16:50,---,4124 2 Trô Geral,---,---,---
17:40,---,---,---,---,---
19:00,---,---,---,---,---
19:50,---,---,---,---,---
21:00,---,---,---,---,---
21:50,---,---,---,---,---

DESEN,,,,,
Horário,Segunda,Terça,Quarta,Quinta,Sexta
07:30,---,4224 3 Trô Geral,---,---,---
08:20,4211 3 Trô Geral,4224 3 Trô Geral,4223 3 Trô Geral,---,---
09:10,4211 3 Trô Geral,---,4223 3 Trô Geral,---,---
10:20,---,---,4111 3 Trô Geral,---,---
11:10,---,---,4111 3 Trô Geral,---,---
13:10,4212 3 Trô Geral,---,4112 3 Trô Geral,---,---
14:00,4212 3 Trô Geral,---,4112 3 Trô Geral,---,---
14:50,4124 3 Trô Geral,---,---,---,---
16:00,4124 3 Trô Geral,---,---,---,---
16:50,---,4123 3 Trô Geral,---,---,---
17:40,---,4123 3 Trô Geral,---,---,---
19:00,---,---,---,---,---
19:50,---,---,---,---,---
21:00,---,---,---,---,---
21:50,---,---,---,---,---

TROFUN,,,,,
Horário,Segunda,Terça,Quarta,Quinta,Sexta
07:30,---,4223 2 Trô Geral,4211 2 Trô Geral,---,---
08:20,---,4223 2 Trô Geral,4211 2 Trô Geral,---,---
09:10,---,---,4224 2 Trô Geral,---,---
10:20,4211 2 Trô Geral,4224 2 Trô Geral,4224 2 Trô Geral,---,---
11:10,4211 2 Trô Geral,4224 2 Trô Geral,---,---,---
13:10,4224 2 Trô Geral,4212 2 Trô Geral,---,4211 2 Trô Geral,---
14:00,4224 2 Trô Geral,4212 2 Trô Geral,---,4211 2 Trô Geral,---
14:50,4212 2 Trô Geral,---,---,4212 2 Trô Geral,---
16:00,4212 2 Trô Geral,---,---,4212 2 Trô Geral,---
16:50,4223 2 Trô Geral,---,---,4223 2 Trô Geral,---
17:40,4223 2 Trô Geral,---,---,4223 2 Trô Geral,---
19:00,---,---,---,---,---
19:50,---,---,---,---,---
21:00,---,---,---,---,---
21:50,---,---,---,---,---

DIGIT,,,,,
Horário,Segunda,Terça,Quarta,Quinta,Sexta
07:30,---,---,---,---,4212 6 Proc. Sinais
08:20,---,---,---,---,4212 6 Proc. Sinais
09:10,---,---,---,---,4212 6 Proc. Sinais
10:20,---,---,---,---,---
11:10,---,---,---,---,---
13:10,---,---,---,---,4223 6 Proc. Sinais
14:00,---,---,---,---,4223 6 Proc. Sinais
14:50,---,---,---,---,4223 6 Proc. Sinais
16:00,---,4224 6 Proc. Sinais,---,---,4211 6 Proc. Sinais
16:50,---,4224 6 Proc. Sinais,---,---,4211 6 Proc. Sinais
17:40,---,4224 6 Proc. Sinais,---,---,4211 6 Proc. Sinais
19:00,---,---,---,---,---
19:50,---,---,---,---,---
21:00,---,---,---,---,---
21:50,---,---,---,---,---

PROJ INIC CIENT,,,,,
Horário,Segunda,Terça,Quarta,Quinta,Sexta
07:30,---,---,---,---,4224 INFO. 7
08:20,---,---,---,---,---
09:10,---,---,---,---,---
10:20,---,---,---,---,4212 INFO. 7
11:10,---,---,4224 INFO. 7,---,4212 INFO. 7
13:10,---,---,---,---,---
14:00,---,---,---,---,4211 INFO. 7
14:50,---,---,---,---,4211 INFO. 7
16:00,---,---,---,---,4223 INFO. 7
16:50,---,---,---,---,4223 INFO. 7
17:40,---,---,---,---,---
19:00,---,---,---,---,---
19:50,---,---,---,---,---
21:00,---,---,---,---,---
21:50,---,---,---,---,---

ELEM,,,,,
Horário,Segunda,Terça,Quarta,Quinta,Sexta
07:30,---,---,---,---,---
08:20,---,---,---,---,---
09:10,---,---,---,4323 INFO. 7,---
10:20,---,---,---,4323 INFO. 7,---
11:10,---,---,---,4323 INFO. 7,---
13:10,---,---,4324 INFO. 7,---,---
14:00,---,4311 INFO. 7,4324 INFO. 7,---,---
14:50,---,4311 INFO. 7,4324 INFO. 7,---,---
16:00,4312 INFO. 7,4311 INFO. 7,---,---,---
16:50,4312 INFO. 7,---,---,---,---
17:40,4312 INFO. 7,---,---,---,---
19:00,---,---,---,---,---
19:50,---,---,---,---,---
21:00,---,---,---,---,---
21:50,---,---,---,---,---

SIST M,,,,,
Horário,Segunda,Terça,Quarta,Quinta,Sexta
07:30,4422  9 Micros,4411  9 Micros,---,---,---
08:20,4422  9 Micros,4411  9 Micros,---,---,---
09:10,4422  9 Micros,4411  9 Micros,---,---,---
10:20,---,---,---,---,---
11:10,---,---,---,---,---
13:10,4324  9 Micros,---,---,---,---
14:00,4324  9 Micros,---,---,---,---
14:50,4324  9 Micros,---,---,4312  9 Micros,---
16:00,---,---,---,4312  9 Micros,---
16:50,---,---,---,4312  9 Micros,---
17:40,---,---,---,4311  9 Micros,---
19:00,---,---,---,---,---
19:50,---,---,---,---,---
21:00,---,---,---,---,---
21:50,---,---,---,---,---

SISCOM,,,,,
Horário,Segunda,Terça,Quarta,Quinta,Sexta
07:30,---,4312 11 Comunicações,4422 11 Comunicações,---,4311 11 Comunicações
08:20,---,4312 11 Comunicações,4422 11 Comunicações,4324 11 Comunicações,4311 11 Comunicações
09:10,---,4312 11 Comunicações,---,4324 11 Comunicações,4311 11 Comunicações
10:20,---,---,---,4324 11 Comunicações,---
11:10,---,---,---,---,---
13:10,---,---,---,---,---
14:00,---,---,---,---,---
14:50,4411 11 Comunicações,---,---,---,---
16:00,4411 11 Comunicações,---,---,---,4323 11 Comunicações
16:50,---,4422 11 Comunicações,---,4411 11 Comunicações,4323 11 Comunicações
17:40,---,4422 11 Comunicações,---,4411 11 Comunicações,4323 11 Comunicações
19:00,---,---,---,---,---
19:50,---,---,---,---,---
21:00,---,---,---,---,---
21:50,---,---,---,---,---

TROANL,,,,,
Horário,Segunda,Terça,Quarta,Quinta,Sexta
07:30,4324 1 Trô Geral,---,---,4312 1 Trô Geral,---
08:20,4324 1 Trô Geral,4311 1 Trô Geral,---,4312 1 Trô Geral,---
09:10,---,4311 1 Trô Geral,---,---,---
10:20,---,---,---,---,---
11:10,---,---,---,---,---
13:10,---,4324 1 Trô Geral,---,---,---
14:00,---,4324 1 Trô Geral,---,4311 1 Trô Geral,---
14:50,---,4312 1 Trô Geral,---,4311 1 Trô Geral,---
16:00,4323 1 Trô Geral,4312 1 Trô Geral,---,---,---
16:50,4323 1 Trô Geral,4323 1 Trô Geral,---,---,---
17:40,---,4323 1 Trô Geral,---,---,---
19:00,---,---,---,---,---
19:50,---,---,---,---,---
21:00,---,---,---,---,---
21:50,---,---,---,---,---

ACIONA,,,,,
Horário,Segunda,Terça,Quarta,Quinta,Sexta
07:30,---,---,---,---,---
08:20,---,---,---,---,---
09:10,4411 10 Acionamentos,---,4422 10 Acionamentos,---,---
10:20,4411 10 Acionamentos,---,4422 10 Acionamentos,---,---
11:10,4411 10 Acionamentos,---,4422 10 Acionamentos,---,---
13:10,---,---,---,---,---
14:00,---,---,---,---,---
14:50,---,---,---,---,---
16:00,---,---,---,---,---
16:50,---,---,---,---,---
17:40,---,---,---,---,---
19:00,---,---,---,---,---
19:50,---,---,---,---,---
21:00,---,---,---,---,---
21:50,---,---,---,---,---

SIST MICRO II,,,,,
Horário,Segunda,Terça,Quarta,Quinta,Sexta
07:30,4422  9 Micros,4411  9 Micros,---,---,---
08:20,4422  9 Micros,4411  9 Micros,---,---,---
09:10,4422  9 Micros,4411  9 Micros,---,---,---
10:20,---,---,---,---,---
11:10,---,---,---,---,---
13:10,---,---,---,---,---
14:00,---,---,---,---,---
14:50,---,---,---,---,---
16:00,---,---,---,---,---
16:50,---,---,---,---,---
17:40,---,---,---,---,---
19:00,---,---,---,---,---
19:50,---,---,---,---,---
21:00,---,---,---,---,---
21:50,---,---,---,---,---

TROPOT,,,,,
Horário,Segunda,Terça,Quarta,Quinta,Sexta
07:30,---,---,---,---,---
08:20,---,---,---,---,---
09:10,---,---,---,---,---
10:20,---,4411 13 Potência,---,---,---
11:10,---,4411 13 Potência,---,---,---
13:10,---,4422 13 Potência,---,---,---
14:00,---,4422 13 Potência,---,---,---
14:50,4422 13 Potência,---,---,4411 13 Potência,---
16:00,4422 13 Potência,---,---,4411 13 Potência,---
16:50,---,---,---,---,---
17:40,---,---,---,---,---
19:00,---,---,---,---,---
19:50,---,---,---,---,---
21:00,---,---,---,---,---
21:50,---,---,---,---,---

TCC,,,,,
Horário,Segunda,Terça,Quarta,Quinta,Sexta
07:30,---,---,---,---,---
08:20,---,---,---,---,---
09:10,---,---,---,---,---
10:20,---,---,---,---,---
11:10,---,---,---,---,---
13:10,---,4411 INFO. 7,---,4422 INFO. 7,---
14:00,---,4411 INFO. 7,---,4422 INFO. 7,---
14:50,---,---,---,---,---
16:00,---,---,---,---,---
16:50,---,---,---,---,---
17:40,---,---,---,---,---
19:00,---,---,---,---,---
19:50,---,---,---,---,---
21:00,---,---,---,---,---
21:50,---,---,---,---,---

SINAIS,,,,,
Horário,Segunda,Terça,Quarta,Quinta,Sexta
07:30,---,---,---,---,---
08:20,---,---,---,---,---
09:10,---,---,---,---,---
10:20,---,4422 6 Proc. Sinais,---,---,---
11:10,---,4422 6 Proc. Sinais,---,---,---
13:10,4422 6 Proc. Sinais,---,---,---,---
14:00,4422 6 Proc. Sinais,---,---,---,---
14:50,---,---,---,---,4411 6 Proc. Sinais
16:00,---,---,---,---,4411 6 Proc. Sinais
16:50,---,---,---,---,4411 6 Proc. Sinais
17:40,---,---,---,---,4411 6 Proc. Sinais
19:00,---,---,---,---,---
19:50,---,---,---,---,---
21:00,---,---,---,---,---
21:50,---,---,---,---,---

AUTOM,,,,,
Horário,Segunda,Terça,Quarta,Quinta,Sexta
07:30,---,---,---,---,---
08:20,---,---,---,---,---
09:10,---,---,---,---,---
10:20,---,---,---,---,---
11:10,---,---,---,---,---
13:10,---,---,---,---,---
14:00,---,---,4422 14 Automação,---,---
14:50,---,4411 14 Automação,4422 14 Automação,---,---
16:00,---,4411 14 Automação,4422 14 Automação,---,---
16:50,---,4411 14 Automação,---,---,---
17:40,---,---,---,---,---
19:00,---,---,---,---,---
19:50,---,---,---,---,---
21:00,---,---,---,---,---
21:50,---,---,---,---,---

